stim_eng,stim_fr,trial,dimension
Which species of whale is the largest animal in the world?,Quelle espèce de baleine est le plus grand animal au monde ?,1,Nature
Which football rule prevents a player from receiving a pass if they are closer to the opponent's goal than the ball and the second-to-last defender?,Quelle règle du football interdit à un joueur de recevoir une passe s'il se trouve plus proche du but adverse que le ballon et l'avant-dernier défenseur ?,2,Sport
What is the term for a cyberattack that overwhelms a server with numerous requests to make it unavailable?,Quel terme désigne une attaque informatique visant à saturer un serveur avec un grand nombre de requêtes pour le rendre indisponible ?,3,Technology
What is the historical national sport of Japan?,Quel est le sport national historique du Japon ?,4,Sport
What is the name of the economic system where production resources are privately owned and used to generate profit?,Quel est le nom du système économique où les ressources de production sont détenues par des particuliers et utilisées pour générer des profits ?,5,Economy
What is the only country in the world whose flag is neither a rectangle nor a square?,Quel est le seul pays au monde dont le drapeau ne soit ni un rectangle ni un carré ?,6,Geography
Who wrote 'Pride and Prejudice'?,Qui a écrit 'Orgueil et Préjugés' ?,7,Literature
What is the speed of light in a vacuum in km/s?,Quelle est la vitesse de la lumière dans le vide en km/s ?,8,Science
Who painted 'The Scream'?,Qui a peint 'Le Cri' ?,9,Art
What is the name of the first artificial intelligence program to defeat a world chess champion in 1996?,Quel est le nom du premier programme d'intelligence artificielle à avoir vaincu un champion du monde d'échecs en 1996 ?,10,Technology
"Who formulated the expression 'I think, therefore I am' (cogito ergo sum)?",Qui a formulé l'expression 'Je pense donc je suis' (cogito ergo sum) ?,11,Philosophy
"What is the title of Immanuel Kant's most famous work, which lays the foundation of his critical philosophy?","Quel est le titre de l'œuvre la plus célèbre d'Immanuel Kant, qui pose les bases de sa philosophie critique ?",12,Philosophy
Which planet is closest to the Sun in our solar system?,Quelle est la planète la plus proche du Soleil dans notre système solaire ?,13,Nature
Which novel by Herman Melville was inspired by the story of the Essex ship?,Quel roman de Herman Melville a été inspiré par l'histoire du navire Essex ?,14,Literature
What is the name of the international research project aimed at developing a nuclear fusion reactor?,Quel est le nom du projet de recherche international ayant pour but de développer un réacteur à fusion nucléaire ?,15,Technology
"Which Polish composer is famous for his nocturnes, polonaises, and mazurkas?","Quel compositeur polonais est célèbre pour ses nocturnes, polonaises et mazurkas ?",16,Art
Which video game developed by Epic Games involves 100 players fighting on an island until only one survives?,"Quel est le jeu vidéo développé par Epic Games, dans lequel 100 joueurs s'affrontent sur une île jusqu'à ce qu'il ne reste qu'un seul survivant ?",17,Technology
Who directed 'The Godfather'?,Qui a réalisé 'Le Parrain' ?,18,Art
Who was the first female Prime Minister of the United Kingdom?,Qui a été la première femme Premier ministre du Royaume-Uni ?,19,History
What is the name of the first US president to be assassinated?,Quel est le nom du premier président des États-Unis à avoir été assassiné ?,20,History
Which major work by Tolstoy focuses on war and its violence?,Quelle œuvre majeure de Tolstoï aborde principalement le thème de la guerre et de ses violences ?,21,Literature
Which British economist introduced the concept of the 'invisible hand' in economic theory?,Quel économiste britannique a introduit le concept de la 'main invisible' dans la théorie économique ?,22,Economy
Who was the first emperor of Rome?,Qui fut le premier empereur de Rome ?,23,History
What is the tallest species of tree?,Quelle est la plus haute espèce d'arbre ?,24,Nature
Who is the author of '1984'?,Qui est l'auteur de '1984' ?,25,Literature
"What is the name of the allegory proposed by Plato, in which chained humans perceive shadows as reality?","Quel est le nom de l'allégorie proposée par Platon dans laquelle des humains enchaînés croient voir la réalité, mais n'en perçoivent en fait qu'une projection sous forme d'ombres ?",26,Philosophy
What term refers to the study of moral principles and deontological values?,Quel terme désigne l'étude des principes moraux et des valeurs déontologiques ?,27,Philosophy
Who created the sculpture 'The Thinker'?,Qui a réalisé la sculpture 'Le Penseur' ?,28,Art
What natural resource is the most traded in global commerce?,Quelle ressource naturelle est la plus échangée dans le commerce mondial ?,29,Economy
Which navigator led the first expedition to successfully circumnavigate the globe?,Quel navigateur a dirigé la première expédition à réussir le tour du monde ?,30,History
Which meridian is the zero longitude point on Earth?,Quel méridien est le point zéro longitudinal de la Terre ?,31,Geography
Which famous athlete from the 90s made history playing for the Chicago Bulls?,Quel célèbre athlète des années 90 a marqué l'histoire en jouant pour les Chicago Bulls ?,32,Sport
Which mechanism in the theory of evolution explains the survival and reproduction of organisms best suited to their environment?,Quel mécanisme de la théorie de l'évolution explique la survie et la reproduction des organismes les mieux adaptés à leur environnement ?,33,Science
What is the term used in economics for a prolonged decline in economic activity lasting more than a few months?,"Quel est le terme utilisé en économie pour désigner une baisse prolongée de l'activité économique, qui dure plus de quelques mois ?",34,Economy
Where were the first Olympic Games of ancient Greece held?,Dans quel lieu de la Grèce antique se sont tenus les premiers Jeux Olympiques ?,35,Sport
Which Mediterranean island is divided between Greece and Turkey?,Quelle île méditerranéenne est divisée entre la Grèce et la Turquie ?,36,Geography
What is the capital of Canada?,Quelle est la capitale du Canada ?,37,Geography
Which species of Mexican salamander is studied for its exceptional regenerative abilities?,Quelle espèce de salamandre mexicaine est particulièrement étudiée pour ses capacités exceptionnelles de régénération ?,38,Nature
What is the primary function of mitochondria in cells?,Quelle est la fonction principale des mitochondries dans les cellules ?,39,Science
What is the most abundant gas in the Earth's atmosphere?,Quel est le gaz le plus abondant dans la composition de l'atmosphère terrestre ?,40,Science
